mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
124.0-126.0 kDa	124.0	126.0	42	0	2	5	JNK_MAPK; Notch; Protein_kinases; RAS_ERK_MAPK; Toll_Imd_NFkB		RAF2, hep	MEP-1, Dmel\CG6614, dati, CG12982, Dmel\CG15599, Pde6, pico, SREBP, BEST:GM10035, ush, spd-2, Pacs, scb, thw, Dna2, FBXO11, Tl [Toll_Imd_NFkB], iav	8.85	elevated	125.0	75.55216124790282	6.239401120655151	0.9458823529411765	0.0	2.014552076697446	5.865604266642465	0.6252469583962337	62.52469583962337
126.0-128.0 kDa	126.0	128.0	43	0	1	4	Actin_tubulin; Insulin_PI3K_AKT_TOR; Protein_kinases; RAS_ERK_MAPK		Pi3K92E	side-V, pic, 2mit, par-1, eag, wry, Eip93F, Dmel\CG4467, mura, Map205, alpha-Man-IIa, subdued, l(2)gl, sac, l(3)L1231, Pi3K92E [Insulin_PI3K_AKT_TOR], X11L, Trpgamma	6.65	elevated	127.0	83.55091385123221	6.38458370296354	0.9499744245524296	0.0	1.4875009456855601	5.30876010676354	0.5867360303805316	58.67360303805316
128.0-130.0 kDa	128.0	130.0	43	0	0	3	Histones; Protein_kinases; Ubiquitin_proteasome			CG12982, fw, mus312, Dmel\CG12983, Dmel\CG14441, Cdk12 [Protein_kinases], Hip1, Polr1B, Lk6 [Protein_kinases], Polr3B, GH25970, 1273, Dmel\CG43333, ACXE, Dmel\CG3356 [Ubiquitin_proteasome], stl, Flacc, Ankle2	4.4	routine	129.0	91.15973571579138	6.510324836931667	0.9529411764705882	0.0	0.3135231838189733	6.173392830627884	0.465104313256403	46.5104313256403
130.0-132.0 kDa	130.0	132.0	36	0	1	3	Protein_kinases; Toll_Imd_NFkB; Ubiquitin_proteasome		Toll-4	cdi, bon, SA1, GCC185, MBD-R2, Dmel\CG18596, Oatp30B, CG31149, chn, Ac3, Usp7 [Ubiquitin_proteasome], Ctr9, mmm, slam, Magi, CG12211, Uba1 [Ubiquitin_proteasome], HDAC6	5.55	routine	131.0	78.27318434776295	6.29044623337927	0.9479283887468031	0.0	1.5531399320004757	5.6623008159079	0.5944994054366645	59.44994054366644
132.0-134.0 kDa	132.0	134.0	32	0	1	4	GAPDH_metabolic_controls; Hedgehog; Protein_kinases; Wnt_Wingless		pan	Sym, pan [Wnt_Wingless], RasGAP1, Dmel\CG4835, PIP82, CG12967, hppy [Protein_kinases], Pcb, Dmel\CG1695, Nrd1, Dgk, slo, CG8970, Msh6, Sordl [GAPDH_metabolic_controls], cos, Dmel\CG7728, Frl	6.1	routine	133.0	69.39216395442692	6.116700851893073	0.9427109974424552	0.0	0.9133063020678766	5.062782845608569	0.5108893449818984	51.08893449818984
134.0-136.0 kDa	134.0	136.0	36	0	2	4	Actin_tubulin; Heat_shock_chaperones; JAK_STAT; Protein_kinases		armi, hop	Dmel\CG5756, Polr2B, kz, srp, L, BcDNA:GH07466, SMC2, Eps-15, hbs, ACXD, Dmel\CG18368, CG32809, Tbcd [Actin_tubulin; Heat_shock_chaperones], Synj, Blimp-1, LeuRS, Sgs1, Nelf-A	7.8	elevated	135.0	75.15407301925059	6.231779388855235	0.9455754475703325	0.0	1.8179949273371063	5.1575321777478695	0.6062099957188845	60.62099957188845
136.0-138.0 kDa	136.0	138.0	36	0	0	4	Histones; JNK_MAPK; Protein_kinases; Protein_phosphatases			scra, ATP7, Dmel\CG1647, Top3alpha, pdm3, HDAC4 [Histones], Prp5, Octbeta3R, Mat89Ba, kuz, Dmel\CG6230, GramD1B, Sf3b3, syd [JNK_MAPK], CG12644, CG7065, anon-15Db, Nlg2	4.8	routine	137.0	77.0896687419557	6.268465623595151	0.9471099744245525	0.0	0.7034701113954414	5.327392734416914	0.4938824849067036	49.388248490670364
138.0-140.0 kDa	138.0	140.0	47	0	1	2	Actin_tubulin; Ubiquitin_proteasome		PAN2	CG32543, bun, tapas, Sec31, prom, GABA-B-R2, Ube4B [Ubiquitin_proteasome], AOX4, Dmel\CG3632, Fur1, PMCA, Ret, Dmel\CG42260, Usp15-31, Asator [Actin_tubulin], pds5, rdgB, PAN2	5.35	routine	139.0	80.67997576093026	6.334138745402553	0.9490537084398977	0.0	1.0078306934294843	3.056601578422005	0.5172080588339124	51.72080588339124
140.0-142.0 kDa	140.0	142.0	28	0	0	2	Histones; Notch			SMC3, Upf2, Dmel\CG9727, AOX2, pod1, CT33170, CG9776, CG18490, Gfrl, CG7766, disco-r, Dmel\CG30122, EHR, mu2, Ca-Ma2d [Notch], pk, Isha, jvl	2.9	routine	141.0	76.72081962447702	6.261546227936995	0.9468030690537085	0.0	0.7097954897205155	2.3016846672860334	0.4698234111665734	46.98234111665734
142.0-144.0 kDa	142.0	144.0	40	0	2	2	Hedgehog; JAK_STAT		dome, ptc	sl, Dmel\CG9068, Dmel\CG32719, dome [JAK_STAT], Dmel\CG6938, SCAP, trp, Mdr49, Fife, Ae2, Elp1, Ac76E, Dmel\CG4213, ptc [Hedgehog], a, SMC1, RhoGAP102A, Muc11A	6.5	elevated	143.0	63.7062285359671	5.993362526060686	0.9411764705882353	0.0	1.8013035108805522	2.562124908303059	0.5848491778181477	58.48491778181477
144.0-146.0 kDa	144.0	146.0	23	0	0	1	Protein_phosphatases			Xpc, Dp1, blo, kibra, RtGEF, Gart, robo3, gprs, Dmel\CG4393, inaE, CG13520, Ptp99A [Protein_phosphatases], Dmel\CG33125, Cap-D3, Dme_CG9270, Mdr50, Nrx-IV, pwn	1.9	routine	145.0	70.16678315274825	6.132716317410599	0.9432225063938618	0.0	0.12590089027723614	2.0678196740831525	0.409432293990085	40.9432293990085
146.0-148.0 kDa	146.0	148.0	37	0	0	2	BMP_TGFbeta; Histones			cyst, Nhe2, Dmel\CG1582, row, CG13256, Kdm2 [Histones], bin3, RhoGAP93B, Gpdh3, Sara [BMP_TGFbeta], Plc21C, Su(z)2, mtd, ed, Dmel\CG10226, Dmel\CG17211, bdg, Kank	3.35	routine	147.0	61.53256113679835	5.943278137198114	0.9407672634271099	0.0	0.04059751718699195	2.518527067663427	0.4041570362424524	40.41570362424524
148.0-150.0 kDa	148.0	150.0	23	0	1	2	Protein_kinases; Ubiquitin_proteasome		MED1	Dmel\CG7376 [Ubiquitin_proteasome], Ih, Myo95E, Pfas, CG17338, Alms1a, XNP, Dmel\CG13131, Vps15 [Protein_kinases], Ndg, gry, Ge-1, Cyfip, CG43427, Pex23, cnn, MED1, Sf3b1	4.15	routine	149.0	54.747870862861355	5.774730954481184	0.93923273657289	0.0	0.8683116306469238	3.07082702322108	0.4906327274229093	49.063272742290934
150.0-152.0 kDa	150.0	152.0	27	0	0	3	Notch; Protein_kinases; Ubiquitin_proteasome			Dmel\CG11898, FER [Protein_kinases], SP2353, salm, Nost, BG:DS03192.2, Dmel\CG4294, Ser [Notch], rk, Rab3-GAP, Kpc1 [Ubiquitin_proteasome], Dmel\CG14120, EP(2)2054, fid, Dmel\CG8492, Eip75B, wisp, Corin	3.6	routine	151.0	53.31612918882427	5.736500137827388	0.9386189258312021	0.0	0.41029341925178753	4.502156651398814	0.4555252186261346	45.55252186261346
