mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
138.0-140.0 kDa	138.0	140.0	134	0	2	6	Actin family; Cell-cycle CDK/cyclin; Histone family; Lamin family; MAPK cascade; Tubulin family		MAP3K15	EVC2, PCNX2, NOL6, DCTN1 [Actin family], DIAPH2, NRK, GRM5, PTPRC, MCF2L, RAPH1, JARID2, EGF, IARS, REV1, MAP1S, KIAA0825, LOC415478, SMC2	14.2	elevated	139.0	296.4646015211932	8.21171604409544	0.9659907597535934	0.0	2.564461299190844	23.172539501406654	0.5479438264302201	54.79438264302201
140.0-142.0 kDa	140.0	142.0	143	0	4	6	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; MAPK cascade; NF-kB/Rel		MAP3K15, MAP3K5, MAP3K6, RASGRF2	NEK1, KIAA0825, ABCB11, ATRNL1 [Actin family], BSN, MECOM [Histone family], KCNMA1, TJP2, SORBS1, BRIP1, KIF16B, TBC1D9, PPFIA4 [Actin family], PHLDB2, MAP3K6 [MAPK cascade], ADGRA2, MECOM [Histone family], ARHGEF10L	17.65	elevated	141.0	278.46944740531825	8.121375239082282	0.9648998973305954	0.0	4.2104519599047965	20.6554552905102	0.5676096331030944	56.76096331030944
142.0-144.0 kDa	142.0	144.0	132	0	3	3	Actin family; Cell-cycle CDK/cyclin; MAPK cascade		MAP3K1, MAP3K19, RASGRF1	CRAMP1, ATN1, NPC1, ERBB4, , TRPS1, DCTN1 [Actin family], MMS22L, ZMYM2, NRK, MYPN, HDLBP, IQSEC1, ARHGEF9, TBC1D32, USP42, MYBPC3, SPAG5	13.35	elevated	143.0	281.50613417403304	8.137022549543946	0.9652849075975359	0.0	4.000193635102416	14.742380185680801	0.5499049832445616	54.99049832445616
144.0-146.0 kDa	144.0	146.0	142	0	4	5	Actin family; Cell-cycle CDK/cyclin; Histone family; MAPK cascade; Tubulin family		MAPK8IP3, VEGFRKDRL	SOS1, VEGFRKDRL, RRP12, MCF2L2, WDR33, DENND5B, DENND5B, ZNF521, FAM21C, STAG1, YEATS2, ZNF592, TPP2, PHLPP1, TBC1D4, LOC415478, ATP13A3, PLEKHA7	16.85	elevated	145.0	271.2631209162843	8.083549111748583	0.9643865503080082	0.0	4.772558889542202	25.36677291160191	0.5826516291167652	58.26516291167651
146.0-148.0 kDa	146.0	148.0	110	0	1	3	Actin family; Histone family; Tubulin family		VEGFRKDRL	MYO6, , IKBKAP, SCAF8, CLUH, ATRNL1 [Actin family], VEGFRKDRL, PPFIA2 [Actin family], CHD1W, IKBKAP, SSH2, PHLDB2, STK36, WDR17, SYNRG, TET1, EHMT1 [Histone family], CENPJ	9.25	elevated	147.0	257.89810160120305	8.01065734320193	0.9638732032854209	0.0	2.9754295736361063	17.18564446525615	0.5434527903870631	54.34527903870631
148.0-150.0 kDa	148.0	150.0	131	0	6	5	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; MAPK cascade		BCL9, MAP3K1, MAPK8IP3	PER2, NUP153, SCAF8, CNTNAP1 [Actin family], NEDD4, CADPS, MAPK8IP3 [Actin family; MAPK cascade], ZNF423, PLCG2, SOS1, RNF123, COL17A1, TTC21B, ZNF521, PHLPP2, KANK1, KIAA0825, RPGR	19.3	elevated	149.0	251.98821217892143	7.977212436877789	0.9633598562628337	0.0	6.3048174137046935	17.12638999372346	0.58116596519374	58.116596519374
150.0-152.0 kDa	150.0	152.0	115	0	3	3	Actin family; Histone family; MAPK cascade		MAP3K1	MAP3K1 [MAPK cascade], SIK3, ABCC4, ASXL2, NRXN1, SPATA13, KDR, MAP4K4, PDS5A, ANKFN1L, ATP8B2, SPATA13, ZNF521, BLM, ADCY9, IKBKAP, KTN1, LOC100858919	12.5	elevated	151.0	242.24010595756437	7.920293931256331	0.962782340862423	0.0	4.796599180475244	10.267880330019874	0.5567435265579633	55.67435265579633
152.0-154.0 kDa	152.0	154.0	105	0	2	4	Actin family; Cell-cycle CDK/cyclin; Histone family; MAPK cascade		MAP3K1, MAP3K5	KIF24, MAP3K1 [MAPK cascade], PLEKHH1, ABCC4, NEO1, MEGF6, WDR7, UMODL1, MAP3K5 [MAPK cascade], NFASC, RGS22, CARMIL1, PNPLA7, TCP10, MAGI1, MIA2, TRAPPC8, PARD3	11.25	elevated	153.0	205.50024240698843	7.682996285478052	0.9613064681724846	0.0	1.5558382843881	7.127564517798208	0.49612751946838907	49.612751946838905
154.0-156.0 kDa	154.0	156.0	86	0	1	4	Actin family; Cell-cycle CDK/cyclin; Histone family; p53 pathway		PIK3R4	PLCG2, COL4A1, VPS8, TA3, NUP155, GRIN2A, PTPRJ, PTPRJ, TRIOBP [Actin family], LMO7, EDC4, SCAPER [Cell-cycle CDK/cyclin], CRB1, KDM6A [Histone family], COL4A3, MET, CEP164, TMEM131L	8.8	routine	155.0	185.19887262173773	7.532931506148367	0.9593172484599589	0.0	1.1917361659847907	8.636475942499995	0.4929906206316282	49.29906206316282
156.0-158.0 kDa	156.0	158.0	89	0	3	3	Actin family; Apoptosis caspase/BCL; Histone family		BCL9L, PIK3R4	NCAPD3, IFT140, ADGRL2, PPIP5K1, ATRN [Actin family], PHLDB1, ATAD2, MEGF6, AQR, KTN1, FHOD3, CRB2, NPHP4, LOC424998, FANCD2, RIMBP2, MMR1L3, AKAP13	11.2	elevated	157.0	183.4245357206389	7.519042823227394	0.9590605749486653	0.0	3.182342299898277	7.341823592186732	0.5223274674822311	52.232746748223114
158.0-160.0 kDa	158.0	160.0	89	0	2	3	Actin family; Histone family; Mitochondrial markers		PIK3C2G, ROCK1	LMO7, PCMTD2, LTK, CLIP1, PTPRK, , TTC37, LTK, DISP2, SETD5, KDM6A [Histone family], CASKIN2, MED14, STARD13, MYOM3, LTK, USP19, CPS1 [Mitochondrial markers]	9.7	elevated	159.0	199.81782223907945	7.6425414561345	0.9607289527720739	0.0	3.4569663226705765	11.355427173632881	0.5377208732748008	53.77208732748008
160.0-162.0 kDa	160.0	162.0	111	0	2	4	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family		BCL9L, ROCK1	KDM6A [Histone family], ESPL1, UACA, MED14, DISP1, SYNGAP1, CRB2, PTPRU, GLI3, A2ML2, KIF7, BCL9L [Apoptosis caspase/BCL], RAPGEF2, ZNF831, COL4A5, , ZNF423, SMG6	11.55	elevated	161.0	216.65995045314025	7.759288685972534	0.9620764887063655	0.0	2.1523062161315263	10.844372235377346	0.5205027657186105	52.050276571861055
