mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
146.0-148.0 kDa,146.0,148.0,37,0,0,2,BMP_TGFbeta; Histones,,,"cyst, Nhe2, Dmel\CG1582, row, CG13256, Kdm2 [Histones], bin3, RhoGAP93B, Gpdh3, Sara [BMP_TGFbeta], Plc21C, Su(z)2, mtd, ed, Dmel\CG10226, Dmel\CG17211, bdg, Kank",3.35,routine
148.0-150.0 kDa,148.0,150.0,23,0,1,2,Protein_kinases; Ubiquitin_proteasome,,MED1,"Dmel\CG7376 [Ubiquitin_proteasome], Ih, Myo95E, Pfas, CG17338, Alms1a, XNP, Dmel\CG13131, Vps15 [Protein_kinases], Ndg, gry, Ge-1, Cyfip, CG43427, Pex23, cnn, MED1, Sf3b1",4.15,routine
150.0-152.0 kDa,150.0,152.0,27,0,0,3,Notch; Protein_kinases; Ubiquitin_proteasome,,,"Dmel\CG11898, FER [Protein_kinases], SP2353, salm, Nost, BG:DS03192.2, Dmel\CG4294, Ser [Notch], rk, Rab3-GAP, Kpc1 [Ubiquitin_proteasome], Dmel\CG14120, EP(2)2054, fid, Dmel\CG8492, Eip75B, wisp, Corin",3.6,routine
152.0-154.0 kDa,152.0,154.0,28,0,1,5,Autophagy; Hedgehog; Protein_kinases; Protein_phosphatases; Toll_Imd_NFkB,,Tollo,"Dmel\CG4301, rad50, Atg17 [Autophagy], Nlg4, Dme_CG7627, rha, Dmel\CG10132, SNF4Agamma [Protein_kinases], ATP8A, Dred, drosha, Hipk [Protein_kinases], PTP-ER, l(2)03659, ci [Hedgehog], Tollo [Toll_Imd_NFkB], Oseg6, CG2691",6.65,elevated
154.0-156.0 kDa,154.0,156.0,23,0,0,0,,,,"CT23878, unc-13-4A, if, Cc2d2a, Taf3, CG17465, CG8154, nolo, Polr3A, Dmel\CG42326, 18w, Grip163, dtn, jing, rdog, Pld, Ask1, Dmel\CG10211",1.15,routine
156.0-158.0 kDa,156.0,158.0,22,0,0,1,Ubiquitin_proteasome,,,"tim, Dmel\CG10254, Dmel\CG43795, PolrMT, wde, Rif1, Hecw [Ubiquitin_proteasome], Cftr, Br140, Muc68D, bsf, rho-5, Ice1, Cap-D2, Girdin, pum, thr, Cenp-C",1.85,routine
158.0-160.0 kDa,158.0,160.0,28,0,1,1,Protein_kinases,,Egfr,"lqfR, fred, Sik3 [Protein_kinases], Cont, CG7457, Tep2, mus101, Glut1, Tomosyn, Hmr, sle, Gmap, TppII, svr, Chs2, CG11846, NSD, Tango1",3.65,routine
160.0-162.0 kDa,160.0,162.0,17,0,1,2,Protein_kinases; Toll_Imd_NFkB,,Toll-7,"Ptp52F, rdgA, Hcf, Nup160, Rok [Protein_kinases], MnM, sws, clu, FAM21, Pde11, Toll-7 [Toll_Imd_NFkB], Cg8945, LRR, CG6740, CG11578, ph-d, Larp4B",3.85,routine
162.0-164.0 kDa,162.0,164.0,21,0,0,1,Protein_kinases,,,"CG16868, Tlk [Protein_kinases], l(2)k05819, Dmel\CG17233, DAAM, msn [Protein_kinases], mamo, mtt, mmd, Hr4, Pde9, NAT1, l(3)mbt, CG7701, tinc, pns, prc, Dmel\CG34347",1.8,routine
164.0-166.0 kDa,164.0,166.0,22,0,1,0,,,MED26,"anne, tn, Top2, Dmel\CG16711, Lpt, spn-E, Cpsf160, Usp10, mesh, Skel, BubR1, tok, Claspin, MED26, Dmel\CG7806, chb, Dark, sima",2.6,routine
