mw_kda	window_candidate_count	gaussian_weighted_candidate_mass	identity_entropy_nats	identity_entropy_bits	effective_candidate_number	mw_discriminability	ambiguity_percentile	auditability_percentile	marker_gaussian_mass	signaling_gaussian_mass	family_membership_gaussian_mass	family_protein_gaussian_mass	marker_context_percentile	signaling_context_percentile	family_context_percentile	contextual_audit_burden_index	contextual_auditability_index	contextual_audit_burden_score_0_100	contextual_auditability_score_0_100	contextual_priority
394.5	7	4.053872881907547	1.769310569307927	2.552575584132975	5.8668072098174076	0.17045046210596768	0.6206197509412106	0.3793802490587894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15515493773530264	0.8448450622646974	15.515493773530265	84.48450622646973	routine
394.75	6	4.576149580479253	1.7733001024478114	2.5583312638093485	5.890259782908415	0.16977179901329126	0.6217781639154358	0.37822183608456417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15544454097885896	0.844555459021141	15.544454097885897	84.45554590211411	routine
395.0	6	4.958493525713387	1.7826373869602712	2.5718021178708432	5.945516386205699	0.16819396921016286	0.6229365768896612	0.3770634231103388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1557341442224153	0.8442658557775847	15.57341442224153	84.42658557775847	routine
395.25	6	5.146098247005662	1.7933214043710024	2.5872158968060766	6.009378933593907	0.1664065473404837	0.6243845931074428	0.37561540689255724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1560961482768607	0.8439038517231393	15.60961482768607	84.39038517231393	routine
395.5	6	5.115028462454632	1.7998642286829216	2.5966551969942904	6.048826151565469	0.1653213325929684	0.6249637995945555	0.3750362004054445	0.0	0.0	0.0003659857331369356	0.0003659857331369356	0.0	0.0	0.0013020833333333333	0.15656647073197222	0.8434335292680277	15.656647073197222	84.34335292680277	routine
395.75	6	4.873665751846149	1.7954877220548113	2.590341232585498	6.022411268438523	0.16604644807980337	0.6246741963509991	0.3753258036490009	0.0	0.0	0.0009589958257307719	0.0009589958257307719	0.0	0.0	0.022135416666666668	0.16170240325441643	0.8382975967455836	16.170240325441643	83.82975967455836	routine
396.0	6	4.458028853853544	1.775568533289251	2.561603917734893	5.903636596315926	0.16938711990233862	0.6220677671589921	0.37793223284100785	0.0	0.0	0.002360618859260736	0.002360618859260736	0.0	0.0	0.043619791666666664	0.1664218897064147	0.8335781102935853	16.64218897064147	83.35781102935853	routine
396.25	6	3.920730748547716	1.737803946060627	2.5071211350189384	5.684845477308516	0.17590627643118434	0.6180133217492035	0.38198667825079646	0.0	0.0	0.005458730115696726	0.005458730115696726	0.0	0.0	0.06640625	0.17110489293730088	0.8288951070626991	17.110489293730087	82.8895107062699	routine
396.5	6	3.32020716308591	1.6837133753073161	2.429084936834283	5.385517333252256	0.18568318289974026	0.613958876339415	0.38604112366058496	0.0	0.0	0.011858068870034202	0.011858068870034202	0.0	0.0	0.08854166666666667	0.17562513575152042	0.8243748642484796	17.562513575152042	82.43748642484796	routine
396.75	6	2.711985759501354	1.6187795160855032	2.3354051801491913	5.046926863077001	0.19814037871559761	0.6081668114682884	0.39183318853171156	0.0	0.0	0.02419874865043343	0.02419874865043343	0.0	0.0	0.11067708333333333	0.17971097370040545	0.8202890262995945	17.971097370040546	82.02890262995946	routine
397.0	5	2.144964196628059	1.5573356591811955	2.2467604325002557	4.746158999204857	0.2106966918233321	0.6020851433536055	0.3979148566463945	0.0	0.0	0.04681236593517632	0.04681236593517632	0.0	0.0	0.13411458333333334	0.18404993167173472	0.8159500683282652	18.404993167173473	81.59500683282653	routine
397.25	2	1.6556842715547686	1.5101063818626566	2.17862298832803	4.527212381983539	0.22088647839442938	0.5977410947002606	0.4022589052997394	0.0	0.0	0.08464072758650615	0.08464072758650615	0.0	0.0	0.15950520833333334	0.1893115757583985	0.8106884242416015	18.931157575839848	81.06884242416015	routine
397.5	3	1.2700721812003612	1.4833028701034539	2.1399536948346194	4.407478997490831	0.22688707094674712	0.5951346655082537	0.40486533449174633	0.0	0.0	0.14401439836577826	0.14401439836577826	0.0	0.0	0.18489583333333334	0.19500762471039676	0.8049923752896032	19.500762471039675	80.49923752896032	routine
397.75	3	1.0015762087836575	1.4536823224373674	2.0972202776083413	4.278841615757814	0.23370811303631125	0.5916594265855778	0.4083405734144222	0.0	0.0	0.2307594408053895	0.2307594408053895	0.0	0.0	0.21549479166666666	0.2017885545630611	0.7982114454369389	20.17885545630611	79.82114454369389	routine
