mw_bin_label	bin_start_kda	bin_end_kda	protein_count	protein_density_per_kda	mean_effective_candidates	median_effective_candidates	mean_identity_entropy_nats	mean_discriminability	ambiguity_percentile	auditability_percentile	mean_mw_kda	median_window_count	mean_window_count	median_gaussian_ambiguity	mean_gaussian_ambiguity	median_identity_entropy_nats	median_discriminability	median_nearest_neighbor_gap_kda
196.0-198.0 kDa	196.0	198.0	50	25.0	103.66151503642303	102.81261587700317	4.640879753295477	0.009651586284377667	0.7847533632286996	0.2152466367713004	197.00771602200115	99.0	99.54	62.95047252265311	62.61835921772501	4.632907553513811	0.009726442815438639	0.014729699998355272
198.0-200.0 kDa	198.0	200.0	50	25.0	103.92222877564718	104.11256082921551	4.643485286249496	0.00962562617274313	0.7869955156950673	0.21300448430493268	198.95602586200107	102.0	101.72	61.546293846563906	61.64806930498831	4.6454711569254785	0.009605017273995566	0.009911349998830588
200.0-202.0 kDa	200.0	202.0	51	25.5	94.05761414576276	94.6237647693964	4.54318355038659	0.010647250364574711	0.773542600896861	0.226457399103139	200.95959940549142	92.0	92.09803921568627	59.32435521678745	58.13773575328987	4.549908657716228	0.01056816966051877	0.015553299999680803
202.0-204.0 kDa	202.0	204.0	35	17.5	78.43617540674296	77.96034180560031	4.360011316118048	0.01280715264673527	0.7645739910313901	0.23542600896860988	203.03298226571553	75.0	74.77142857142857	44.438731711761456	45.22097150067057	4.356200259001225	0.012827034577318448	0.02551019999896198
204.0-206.0 kDa	204.0	206.0	29	14.5	73.7613005080775	73.58893998348357	4.300304002709262	0.013571573047516038	0.7600896860986547	0.23991031390134532	204.92388342827715	69.0	69.62068965517241	41.303149544924366	41.457641290112456	4.298494742479329	0.01358899856723635	0.01159629999972367
206.0-208.0 kDa	206.0	208.0	47	23.5	86.0176457123497	86.90954487879682	4.4532647520339514	0.01165564712595465	0.7690582959641256	0.23094170403587444	207.02473046936294	87.0	84.08510638297872	53.415341379127085	52.27184346587317	4.464867863740189	0.01150621604789888	0.017103300000485433
208.0-210.0 kDa	208.0	210.0	48	24.0	97.50252314873683	96.2981927319885	4.579149271630202	0.010271005727997912	0.7757847533632287	0.22421524663677128	209.03115293416798	92.5	93.60416666666667	57.994066127615135	57.92693982109378	4.567448956570652	0.010384423233940947	0.010447699999872384
210.0-212.0 kDa	210.0	212.0	53	26.5	104.79322317122853	104.48710739653075	4.651916544762502	0.009543985997859713	0.7914798206278026	0.20852017937219736	211.18543712717133	104.0	103.11320754716981	67.14118503823167	65.397281390054	4.6490636895977655	0.009570558750420559	0.012472300000069936
212.0-214.0 kDa	212.0	214.0	44	22.0	99.11366666690473	100.11353375197615	4.59564252882071	0.010102280254110235	0.7802690582959642	0.21973094170403584	212.84602185045608	99.0	98.13636363636364	61.843860521558035	61.13896436780285	4.606304472322808	0.00998866763440157	0.01703750000010018
214.0-216.0 kDa	214.0	216.0	37	18.5	78.86575584656416	77.04439646257487	4.366464833376189	0.0127119475308096	0.7668161434977578	0.23318385650224216	214.8761676935151	73.0	73.45945945945945	44.5940304856213	44.675538445122854	4.344381833132816	0.012979529283297852	0.018182300000631813
216.0-218.0 kDa	216.0	218.0	42	21.0	73.4327711484915	72.99364564244092	4.295843318016849	0.013632198252761095	0.757847533632287	0.24215246636771304	217.17632134190634	72.0	72.71428571428571	46.884603606682155	45.86266255270435	4.29037036855385	0.013699878076105638	0.010351899998354952
218.0-220.0 kDa	218.0	220.0	31	15.5	67.9320450774133	68.56444152041534	4.218017713408619	0.014735104639772552	0.7533632286995515	0.24663677130044848	219.04356912193683	67.0	65.41935483870968	39.357944798641235	39.462561835467156	4.227774055161084	0.014584819446130045	0.01724489999955381
220.0-222.0 kDa	220.0	222.0	24	12.0	66.70378674825726	66.66222430191766	4.199672246634171	0.015009315892163	0.7488789237668162	0.2511210762331838	221.15431478833514	62.5	63.208333333333336	36.87682304662365	36.94678381292349	4.199638042820192	0.015001011520524157	0.04377090000009787
222.0-224.0 kDa	222.0	224.0	44	22.0	74.5675888442836	74.68529778896702	4.311530986370974	0.013415356591754891	0.7623318385650224	0.2376681614349776	223.01549115045654	74.0	74.02272727272727	48.17025909168207	47.772546456420464	4.313283045559586	0.01338952177371398	0.009010399999993979
224.0-226.0 kDa	224.0	226.0	30	15.0	70.1214991462853	70.03001442553816	4.248779259823963	0.014302416992764678	0.7556053811659192	0.24439461883408076	224.93783721666838	69.0	67.93333333333334	41.10000111252765	41.23500110353769	4.248911308007418	0.014279951929518298	0.02246915000073102
226.0-228.0 kDa	226.0	228.0	27	13.5	62.53656281915082	62.51191716900745	4.1357325003131	0.015991248967343528	0.7376681614349776	0.2623318385650224	226.88579471703886	59.0	59.407407407407405	34.788299941972596	34.97466499564693	4.135357213270364	0.015996949786332683	0.01988379999855283
228.0-230.0 kDa	228.0	230.0	33	16.5	63.93818721061329	63.57008373957158	4.157538573839457	0.015651897502475573	0.7466367713004485	0.2533632286995515	228.8785686860624	61.0	61.93939393939394	39.23684787649702	38.79229715428623	4.152142978228739	0.01573066985559927	0.018317399998323936
230.0-232.0 kDa	230.0	232.0	32	16.0	67.18582343098863	67.071208591653	4.207438228814408	0.014884809056931623	0.7511210762331838	0.2488789237668162	230.90461341125174	65.5	65.375	40.082466888872666	39.95869532338347	4.205754868128743	0.014909527118240909	0.017892449999877158
232.0-234.0 kDa	232.0	234.0	32	16.0	63.213112203101744	62.78488300823713	4.146331385941893	0.0158251833506681	0.7399103139013453	0.2600896860986547	232.83098534562706	60.0	61.125	38.44878594230273	37.96652284754613	4.139713545810345	0.01592742578472679	0.01727520000018501
234.0-236.0 kDa	234.0	236.0	31	15.5	60.74133399871519	60.32318452778074	4.105848806532669	0.016488783525020066	0.7354260089686099	0.2645739910313901	235.08109754451797	59.0	58.87096774193548	36.80110645669194	36.319516142411	4.099716516201721	0.016577374152710194	0.020898400000760375
236.0-238.0 kDa	236.0	238.0	28	14.0	57.14427975194582	57.117866004306606	4.045576826800551	0.017499650639423308	0.7309417040358744	0.26905829596412556	236.91062303357322	56.0	55.607142857142854	34.944095143399664	33.88665646886165	4.045116955995776	0.01750765693632092	0.018445699999745102
238.0-240.0 kDa	238.0	240.0	27	13.5	59.10415045922446	59.045194529797804	4.07910157270983	0.01692603158607018	0.7331838565022422	0.26681614349775784	239.2310815355572	60.0	57.666666666666664	35.54419195327993	34.551215657754994	4.078303159650202	0.016936179276966206	0.023645800000679174
240.0-242.0 kDa	240.0	242.0	33	16.5	63.64804200794992	63.924955835662566	4.153215653602335	0.015716245066404642	0.7443946188340808	0.25560538116591924	241.0372624012139	65.0	64.21212121212122	40.60075710712606	40.217860868127595	4.157709830299617	0.01564334283735427	0.03429390000184185
242.0-244.0 kDa	242.0	244.0	23	11.5	54.17031924391596	54.35830622341707	3.990744185344135	0.01851203954048799	0.7286995515695067	0.2713004484304933	242.81873170608895	53.0	52.52173913043478	32.198368727150836	31.70985967464002	3.9955974302878867	0.01839645252907474	0.024149099999277723
244.0-246.0 kDa	244.0	246.0	18	9.0	42.24784842935952	41.33790861414036	3.7428856245205537	0.02370098064563457	0.726457399103139	0.273542600896861	244.78836754111273	39.0	39.22222222222222	23.591747464326435	23.75668327229674	3.7217788450679317	0.024190924736374422	0.03144359999998869
246.0-248.0 kDa	246.0	248.0	24	12.0	38.58760205441123	38.56367730867567	3.651669326807093	0.025980279418893682	0.7197309417040358	0.28026905829596416	246.94765570083516	38.5	38.166666666666664	24.31168290536398	24.03310550757944	3.652226438651402	0.025935514165438607	0.02123500000075751
248.0-250.0 kDa	248.0	250.0	13	6.5	34.036347491483006	33.93910143210798	3.5267870549037386	0.029418107412803953	0.7040358744394619	0.2959641255605381	248.93508921846347	32.0	32.38461538461539	16.790564989137856	17.75736089186358	3.5245677842672736	0.02946453965495837	0.06603359999920144
250.0-252.0 kDa	250.0	252.0	16	8.0	29.01688821807333	28.824708086285455	3.3677587068763435	0.034470868908530225	0.672645739910314	0.32735426008968604	251.0320684487518	28.0	28.5625	18.60335529479506	18.46994662379264	3.3612329384667596	0.03469245891673057	0.07012899999951117
252.0-254.0 kDa	252.0	254.0	10	5.0	30.145982364294962	30.334561448890277	3.4059324630105805	0.033179846365974805	0.6816143497757847	0.3183856502242153	252.7853481900021	28.0	28.6	15.136376422880184	15.50257107898599	3.412287382688948	0.03296571948197067	0.03771590000009439
254.0-256.0 kDa	254.0	256.0	18	9.0	30.47039538574012	30.229993780489757	3.416360166161831	0.03284458934239148	0.6838565022421524	0.31614349775784756	254.85119733555752	29.5	29.61111111111111	19.152928609811497	18.80339151881	3.4087886349133454	0.033082770303061754	0.07383315000018342
256.0-258.0 kDa	256.0	258.0	15	7.5	31.261727017198236	31.121429693874383	3.442242865486328	0.03199768208339239	0.6883408071748879	0.3116591928251121	256.895872513335	30.0	29.933333333333334	17.42358817730156	17.525080564100033	3.4378966395747916	0.03213219989687137	0.06043379999954368
258.0-260.0 kDa	258.0	260.0	15	7.5	31.41087712827055	31.343556122559566	3.4470621006970434	0.031841964368059354	0.6905829596412556	0.3094170403587444	259.0523223133354	30.0	30.533333333333335	18.475714585315497	18.348820415310623	3.445008699621549	0.03190448448445991	0.06540849999919374
260.0-262.0 kDa	260.0	262.0	14	7.0	32.10771719382249	31.900520081116596	3.4686921662029326	0.031170270395871492	0.6995515695067265	0.3004484304932735	260.72178228714455	30.5	31.142857142857142	19.220317742682006	18.930905700529564	3.462613026476967	0.031348033541712186	0.07528859999985116
262.0-264.0 kDa	262.0	264.0	17	8.5	33.328979813651074	32.37118340344774	3.5045556641189597	0.030115088650329074	0.7017937219730942	0.2982062780269058	262.8459704917666	30.0	31.529411764705884	18.369360519647053	18.783160786969674	3.477268625918272	0.030891672619342475	0.0407405000001404
264.0-266.0 kDa	264.0	266.0	20	10.0	37.12049052645938	36.312099067643175	3.613481457185471	0.026975971635364877	0.7174887892376681	0.2825112107623319	264.96310732000194	35.0	35.75	22.910807526874905	22.73382792933609	3.5921509933192377	0.027539030400532433	0.02592924999962065
266.0-268.0 kDa	266.0	268.0	17	8.5	41.5618751007161	41.69419272426041	3.7270903448581607	0.024064998665675217	0.7242152466367713	0.2757847533632287	266.97582956235516	40.0	40.88235294117647	23.34212550844218	23.683325234267603	3.7303618558995506	0.023984155458132532	0.03518689999771141
268.0-270.0 kDa	268.0	270.0	25	12.5	40.12978210161734	40.39008525946031	3.691843143563346	0.024932975636739855	0.7219730941704036	0.27802690582959644	268.90356833600237	41.0	40.48	25.369333629762462	24.524006965008663	3.6985843404782757	0.024758551351801775	0.015047299997604568
270.0-272.0 kDa	270.0	272.0	13	6.5	34.85233733578074	34.70186062457465	3.5510382079780403	0.028697170465044216	0.7085201793721974	0.29147982062780264	270.86922898000194	32.0	31.846153846153847	19.931762762383023	19.758006404557065	3.5467933058200414	0.02881689863314807	0.05157700000142995
272.0-274.0 kDa	272.0	274.0	21	10.5	34.50894862709318	34.500405568207924	3.5410412408256327	0.02898826099131418	0.7062780269058296	0.29372197309417036	273.16690206571656	34.0	32.857142857142854	21.385303681263945	20.77795451703005	3.5409710795684473	0.02898516650834675	0.03783799999922621
274.0-276.0 kDa	274.0	276.0	16	8.0	35.36977411963812	35.13545182010524	3.56466365016715	0.028340347573071478	0.7107623318385651	0.2892376681614349	275.2327672800021	35.0	35.0625	20.558289671324317	20.707761376921155	3.559191355308468	0.028462379919287854	0.017438200001265614
276.0-278.0 kDa	276.0	278.0	14	7.0	31.821486299543977	31.77973816233774	3.4598934903933554	0.03144093200586621	0.695067264573991	0.30493273542600896	276.89906878714515	31.0	30.857142857142858	17.956323041778234	18.40050263871488	3.458828854060341	0.03146659455717529	0.021300799997789
278.0-280.0 kDa	278.0	280.0	12	6.0	31.957173859952444	31.534031508366496	3.463420576576486	0.031352632087570165	0.6973094170403588	0.30269058295964124	278.86944937166885	29.0	29.083333333333332	16.27149428587906	16.794516630464187	3.451058230760707	0.031712348431649086	0.10668889999843145
280.0-282.0 kDa	280.0	282.0	23	11.5	36.17626219699294	36.309320539083615	3.5883302118811478	0.027646475288294187	0.7152466367713004	0.2847533632286996	280.99273979739394	36.0	35.73913043478261	23.155701033950457	22.874525673533338	3.592074472474612	0.02754113778922392	0.021075099999734448
282.0-284.0 kDa	282.0	284.0	14	7.0	35.99106223004828	36.68068645328537	3.582543414179419	0.02782564961595235	0.7130044843049327	0.2869955156950673	282.89509623000276	35.0	34.857142857142854	19.325316161751942	19.953477454680588	3.6022379006701057	0.027262982767949293	0.06201800000036428
284.0-286.0 kDa	284.0	286.0	18	9.0	31.5279994394893	31.558917171479333	3.4508217216445556	0.03172128541740964	0.6928251121076233	0.3071748878923767	284.945446902225	30.0	30.333333333333332	18.493651753720528	18.433587896082514	3.4518540538501457	0.031686900324920844	0.02959710000138216
286.0-288.0 kDa	286.0	288.0	15	7.5	29.038467559257853	28.313257140601948	3.3677694341193014	0.03449474055099343	0.6748878923766816	0.32511210762331844	287.1974716200027	28.0	28.133333333333333	17.33846869124475	17.36518591227819	3.343330145158601	0.03531914378603845	0.026261600000111684
288.0-290.0 kDa	288.0	290.0	11	5.5	28.462224938304665	28.68107223275859	3.3473476717863515	0.03522125915918036	0.6704035874439462	0.32959641255605376	289.1022626981842	29.0	28.272727272727273	16.14304176351921	16.066994972370058	3.3562374011120264	0.03486619997622796	0.07669749999871556
290.0-292.0 kDa	290.0	292.0	12	6.0	26.299984496447834	25.85689949292349	3.2686637992039986	0.03809040866411698	0.6659192825112108	0.3340807174887892	290.6627755633364	24.5	24.833333333333332	15.247255043457503	15.164658607173928	3.252534075654964	0.03867775381618123	0.03732684999883418
292.0-294.0 kDa	292.0	294.0	15	7.5	27.33799578133633	27.244389425945638	3.308196555744042	0.03658500118315914	0.6681614349775785	0.3318385650224215	292.9865739333358	26.0	26.533333333333335	17.066354524532162	16.62048369577614	3.3048476072846085	0.03670480495509547	0.060062699996706215
294.0-296.0 kDa	294.0	296.0	13	6.5	23.955945564925482	24.64626609657485	3.17087337339832	0.04220144942915162	0.6591928251121076	0.34080717488789236	294.79328893384866	25.0	24.0	15.34382211357736	14.578085126106414	3.2046254122025486	0.04057409735339068	0.060774700001161364
