mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
148.0-150.0 kDa,148.0,150.0,131,0,6,5,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; MAPK cascade,,"BCL9, MAP3K1, MAPK8IP3","PER2, NUP153, SCAF8, CNTNAP1 [Actin family], NEDD4, CADPS, MAPK8IP3 [Actin family; MAPK cascade], ZNF423, PLCG2, SOS1, RNF123, COL17A1, TTC21B, ZNF521, PHLPP2, KANK1, KIAA0825, RPGR",19.3,elevated
150.0-152.0 kDa,150.0,152.0,115,0,3,3,Actin family; Histone family; MAPK cascade,,MAP3K1,"MAP3K1 [MAPK cascade], SIK3, ABCC4, ASXL2, NRXN1, SPATA13, KDR, MAP4K4, PDS5A, ANKFN1L, ATP8B2, SPATA13, ZNF521, BLM, ADCY9, IKBKAP, KTN1, LOC100858919",12.5,elevated
152.0-154.0 kDa,152.0,154.0,105,0,2,4,Actin family; Cell-cycle CDK/cyclin; Histone family; MAPK cascade,,"MAP3K1, MAP3K5","KIF24, MAP3K1 [MAPK cascade], PLEKHH1, ABCC4, NEO1, MEGF6, WDR7, UMODL1, MAP3K5 [MAPK cascade], NFASC, RGS22, CARMIL1, PNPLA7, TCP10, MAGI1, MIA2, TRAPPC8, PARD3",11.25,elevated
154.0-156.0 kDa,154.0,156.0,86,0,1,4,Actin family; Cell-cycle CDK/cyclin; Histone family; p53 pathway,,PIK3R4,"PLCG2, COL4A1, VPS8, TA3, NUP155, GRIN2A, PTPRJ, PTPRJ, TRIOBP [Actin family], LMO7, EDC4, SCAPER [Cell-cycle CDK/cyclin], CRB1, KDM6A [Histone family], COL4A3, MET, CEP164, TMEM131L",8.8,routine
156.0-158.0 kDa,156.0,158.0,89,0,3,3,Actin family; Apoptosis caspase/BCL; Histone family,,"BCL9L, PIK3R4","NCAPD3, IFT140, ADGRL2, PPIP5K1, ATRN [Actin family], PHLDB1, ATAD2, MEGF6, AQR, KTN1, FHOD3, CRB2, NPHP4, LOC424998, FANCD2, RIMBP2, MMR1L3, AKAP13",11.2,elevated
158.0-160.0 kDa,158.0,160.0,89,0,2,3,Actin family; Histone family; Mitochondrial markers,,"PIK3C2G, ROCK1","LMO7, PCMTD2, LTK, CLIP1, PTPRK, , TTC37, LTK, DISP2, SETD5, KDM6A [Histone family], CASKIN2, MED14, STARD13, MYOM3, LTK, USP19, CPS1 [Mitochondrial markers]",9.7,elevated
160.0-162.0 kDa,160.0,162.0,111,0,2,4,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family,,"BCL9L, ROCK1","KDM6A [Histone family], ESPL1, UACA, MED14, DISP1, SYNGAP1, CRB2, PTPRU, GLI3, A2ML2, KIF7, BCL9L [Apoptosis caspase/BCL], RAPGEF2, ZNF831, COL4A5, , ZNF423, SMG6",11.55,elevated
162.0-164.0 kDa,162.0,164.0,94,0,3,3,Actin family; Cell-cycle CDK/cyclin; p53 pathway,,"CDK12, ROCK1, ROCK2","SBNO2, DISP2, LMTK2, TULP4, PTPRK, CRACD [Actin family], ARHGAP5, PTPRM, A2ML2, ZNF608, EEA1, WDR7, ABCC6, CEP162, SLIT3, ABCC8, CECR2, PTPRM",11.45,elevated
164.0-166.0 kDa,164.0,166.0,96,0,3,4,Actin family; Apoptosis caspase/BCL; MAPK cascade; Mitochondrial markers,,"BCL9L, MAP3K4, PIK3R4","A2M, SETD5, KIF24, MMR1L4, ABI3BP, SOGA1, AQR, CRACD [Actin family], CPS1 [Mitochondrial markers], MYOM2, BCL9L [Apoptosis caspase/BCL], MYOM2, NRXN1, CAMSAP2, IQGAP2, PTPRU, NKTR, NKTR",12.3,elevated
166.0-168.0 kDa,166.0,168.0,100,0,6,7,Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; MAPK cascade; Mitochondrial markers; Nuclear receptor PPAR; p53 pathway,,"BCL9L, CDK13, MAP3K4, PIK3C2G, ROCK2, SRCIN1","CLASP1, DOT1L [Histone family], TRAPPC8, RIMS2, POLA1, COL4A2, ABI3BP, RIMS2, ADGRL2, SRCIN1, HECW2, ITSN1, OVST, EEA1, , CLASP2, EPRS, ABI3BP",19.25,elevated
