mw_bin_label	bin_start_kda	bin_end_kda	protein_count	protein_density_per_kda	mean_effective_candidates	median_effective_candidates	mean_identity_entropy_nats	mean_discriminability	ambiguity_percentile	auditability_percentile	mean_mw_kda	median_window_count	mean_window_count	median_gaussian_ambiguity	mean_gaussian_ambiguity	median_identity_entropy_nats	median_discriminability	median_nearest_neighbor_gap_kda
108.0-110.0 kDa	108.0	110.0	31	15.5	50.740487780735876	50.802894795636355	3.9267075494372343	0.01970878300081294	0.8142857142857143	0.18571428571428572	109.09380402838757	50.0	50.61290322580645	33.70956394326497	33.30294890680574	3.9279533371269704	0.019683917698443704	0.021707300000073815
110.0-112.0 kDa	110.0	112.0	17	8.5	49.385405868363506	50.33867084779413	3.8991904058107867	0.020267914921667976	0.8107142857142857	0.18928571428571428	110.97105620941225	48.0	46.64705882352941	25.541485703967567	26.41739681203964	3.918773585858276	0.01986544307106632	0.059222899999966216
112.0-114.0 kDa	112.0	114.0	25	12.5	46.657477652011465	46.35752086198912	3.8426270161576177	0.02144159890403774	0.7964285714285714	0.20357142857142863	112.99068296800051	45.0	45.6	29.21204474541471	28.640475603078695	3.836383541243333	0.021571472792453632	0.03472449999989635
114.0-116.0 kDa	114.0	116.0	26	13.0	49.303858837643105	49.265386704957926	3.897978139881558	0.020283369932377077	0.8071428571428572	0.19285714285714284	115.06942456076978	48.0	48.38461538461539	28.34488539477168	28.373016063354616	3.897221726502014	0.02029822746435115	0.019022000000020967
116.0-118.0 kDa	116.0	118.0	24	12.0	47.436171773405704	47.40854338897675	3.859276495394937	0.02108553109219324	0.8	0.19999999999999996	117.19891876333388	46.0	46.083333333333336	29.253475601460764	28.958382590704804	3.858800007001177	0.021093347738439	0.03255065000015378
118.0-120.0 kDa	118.0	120.0	18	9.0	43.8223563977521	44.82392196296057	3.778570125724133	0.022892088064101406	0.7928571428571428	0.20714285714285718	119.05354658000061	43.0	42.72222222222222	25.21174435874676	25.293787952008223	3.802701435529378	0.022311324556685552	0.03291929999942056
120.0-122.0 kDa	120.0	122.0	18	9.0	38.38275535565524	38.09381976575699	3.6475094395551824	0.0260585011474724	0.7785714285714286	0.22142857142857142	120.83797745777838	36.0	36.27777777777778	22.39114770231395	21.797379260956482	3.640051983531982	0.02625098126914585	0.027260450000305525
122.0-124.0 kDa	122.0	124.0	21	10.5	40.38786469898822	40.30305094178083	3.6984984717599128	0.024761442171639295	0.7821428571428571	0.21785714285714286	123.18482869428632	40.0	39.857142857142854	24.668112362201864	24.58957438346402	3.696427171838487	0.024812017369219393	0.04990560000000244
124.0-126.0 kDa	124.0	126.0	18	9.0	41.26498263084943	40.77973852889677	3.719636388873558	0.02425185312781985	0.7892857142857143	0.21071428571428574	124.78743688000067	39.0	39.72222222222222	25.596305343552736	24.776654185444055	3.7081841667541364	0.024522039849286248	0.038946850000066036
126.0-128.0 kDa	126.0	128.0	18	9.0	37.419760641402185	36.79851894322604	3.6216420439361148	0.02675306464810086	0.775	0.22499999999999998	126.8784164744451	35.0	35.833333333333336	22.768651952503607	22.559789292066473	3.6054570168527484	0.027175038331081085	0.038807000000119274
