family	mw_kda	gaussian_family_mass	family_member_count
Actin family	21.25	65.10817787772567	1317
Actin family	21.5	63.29719320073934	1317
Actin family	21.75	61.530345026074016	1317
Actin family	22.0	59.94772611589432	1317
Actin family	22.25	58.644673185143745	1317
Actin family	22.5	57.677778717220136	1317
Actin family	22.75	57.09131049494411	1317
Actin family	23.0	56.93692448320548	1317
Actin family	23.25	57.271035161117325	1317
Actin family	23.5	58.14895197748355	1317
Actin family	23.75	59.58794438128774	1317
Actin family	24.0	61.55031210338921	1317
Actin family	24.25	63.922381022453024	1317
Actin family	24.5	66.51493980608137	1317
Actin family	24.75	69.0863586662476	1317
Actin family	25.0	71.37327902778321	1317
Actin family	25.25	73.13033691092082	1317
Actin family	25.5	74.16004305051544	1317
Actin family	25.75	74.34331299714671	1317
Actin family	26.0	73.64814622863501	1317
Actin family	26.25	72.12093830123156	1317
Actin family	26.5	69.86855677500995	1317
Actin family	26.75	67.04579950682725	1317
Actin family	27.0	63.83800072308486	1317
Actin family	27.25	60.44922704368994	1317
Actin family	27.5	57.08495731807036	1317
Actin family	27.75	53.925588843671356	1317
Actin family	28.0	51.092695164198034	1317
Actin family	28.25	48.627725227597786	1317
Actin family	28.5	46.47359124387372	1317
Actin family	28.75	44.49968022582568	1317
Actin family	29.0	42.53733952281017	1317
Actin family	29.25	40.44067292054239	1317
Actin family	29.5	38.14061404284458	1317
Actin family	29.75	35.681620031463176	1317
Actin family	30.0	33.20937975710804	1317
Actin family	30.25	30.93719314006465	1317
Actin family	30.5	29.084899298461607	1317
Actin family	30.75	27.82840122993456	1317
Actin family	31.0	27.25206832971134	1317
Actin family	31.25	27.333900560398313	1317
Actin family	31.5	27.949025278188195	1317
Actin family	31.75	28.889507663737263	1317
Actin family	32.0	29.899460933284672	1317
Actin family	32.25	30.71007891658051	1317
Actin family	32.5	31.072339253317253	1317
Actin family	32.75	30.807939740185297	1317
Actin family	33.0	29.846443942731987	1317
Actin family	33.25	28.23794740983933	1317
