mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
152.0-154.0 kDa,152.0,154.0,56,0,2,3,Actin family; Histone family; MAPK cascade,,"Map3k5, Pik3r4","Nup153, Tns2, Mybbp1a, Ube4b, Palld, Npat, Cracd [Actin family], Nsd2 [Histone family], Ccdc171, Cpd, Zfyve9, Atrnl1 [Actin family], Edc4, Edc4, Lrrc9, Rab3gap2, Rab3gap2, Ktn1",8.05,routine
154.0-156.0 kDa,154.0,156.0,52,0,1,2,Actin family; MAPK cascade,,Map3k5,"Tnik [Actin family], Pogz, Spata31e2, Scaf11, Nlrc5, Kdm6a, CEFIP [Actin family], Espn, Map3k5 [MAPK cascade], Rab3gap2, Zmym2, Iqcn, Cux2, Kmt2a, D5Ertd579e, Synj2, Kiaa0232, Tln2",5.6,routine
156.0-158.0 kDa,156.0,158.0,38,0,1,5,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; Mitochondrial markers,,Bcl9l,"Brd4, Arhgef28, Med23, Nsd3 [Histone family], Cntnap1 [Actin family], Pogz, Cux1, Med23, Mia2, Rgs12, Rprd2, Mia2, Lrpprc [Mitochondrial markers], Lrrc7, Bcl9l [Apoptosis caspase/BCL], Nacad, 2700049A03Rik, Bltp3a",7.15,routine
158.0-160.0 kDa,158.0,160.0,36,0,3,2,Actin family; Cell-cycle CDK/cyclin,,"Ccnb3, Rock1","Nfat5, Atrn [Actin family], Rock1, Ssh2, Nup160, Atp10d, Dcc, Blm, Rrbp1, Ncoa2, Synj2, Plin4, Phldb1, Prrc2b, Mlh3, Naip1, Blm, Ssh2",7.8,routine
160.0-162.0 kDa,160.0,162.0,70,0,4,3,Actin family; Histone family; MAPK cascade,,"Map3k1, Rock2","Clip1, Ylpm1, Nos1, Kif15, Clasp1, Mbd5, Prrc2c, Nos1, Smg6, Lmtk2, Adgrb2, Rock2, Tex16, Rock2, Col4a1, Zfp462, Cntln, Ift140",11.75,elevated
162.0-164.0 kDa,162.0,164.0,58,0,4,2,Cell-cycle CDK/cyclin; MAPK cascade,,"Cdk12, Mapkbp1","Atp7a, Scaf11, Fancd2, Clasp1, Arhgap23, Arap1, Adgrl1, Fyco1, A2ml1, Znf608, Prx, Mug2, Gapvd1, Ptpru, Asxl1, Mlh3, Tex14, Cep164",10.4,elevated
164.0-166.0 kDa,164.0,166.0,69,0,1,4,Actin family; Cell-cycle CDK/cyclin; Histone family; Mitochondrial markers,,Cdk13,"Col4a6, Naip2, Col4a4, Plekhg1, Crybg2, Ptprk, Nrxn1, Cux1, Plch2, N4bp2, Nos1, Camsap2, A2m, Clasp1, Ptprz1, Adgrl2, Pds5b, Pcf11",7.95,routine
166.0-168.0 kDa,166.0,168.0,61,0,1,2,Actin family; Lamin family,,Rock2,"Ptprk, Camsap2, Nrxn1, Arhgef40, Ralgapb, Prex1, Patj, Mtcl1, Rapgef2, Rapgef2, Atp10b, Adgrl1, Gemin5, Ralgapb, Adgrl2, Gemin5, Ccdc88b, Kcp",6.05,routine
168.0-170.0 kDa,168.0,170.0,45,0,2,3,Actin family; Histone family; MAPK cascade,,"Map3k19, Rb1cc1","Clasp1, Shoc1, Ahdc1, 4930407I10Rik, Tns3, Ptprd, Adgrb2, Robo2, Pbrm1, Limch1, Adgrl3, Slit2, Atp10a, Rb1cc1, Resf1, Topbp1, Dcaf1, Kmt2c [Histone family]",7.5,routine
170.0-172.0 kDa,170.0,172.0,37,0,1,2,AKT pathway; Actin family,,Pik3c2g,"Eprs1, Disp1, Dst, Slit2, Aqr, Arhgap35, Pla2r1, Dip2a [Actin family], Baz1b [AKT pathway], Madd, Adgrl3, Cep170b, Dip2c [Actin family], Trpm1, Clasp1, Mast1, Dip2c [Actin family], Adgrl3",4.85,routine
172.0-174.0 kDa,172.0,174.0,46,0,0,1,Lamin family,,,"Ankrd31, Sycp2, Cdc42bpg, Trpm2, Lamc3 [Lamin family], Zfp646, Arhgef12, Slx4, Zmym4, Arhgap5, Arhgef12, Cacna1s, Adgrl3, Smarca2, Akap12, Synj1, Madd, Nhsl1",3.05,routine
174.0-176.0 kDa,174.0,176.0,35,0,0,1,Nuclear receptor PPAR,,,"Smarca2, Zfp831, Abcc9, Agl, Ralgapa2, Madd, Adgrl3, Duox2, Dlg5, Madd, Eif4g3, Eif4g3, Eif4g3, Alk, Ptprz1, Rims2, Nisch, Cep170",2.5,routine
176.0-178.0 kDa,176.0,178.0,34,0,0,2,Actin family; Lamin family,,,"Camsap1, Eif4g1, Hecw2, Synj1, Kdm6b, Robo1, Robo1, Uggt1, Madd, Plxnc1, Ino80, Fhod3, Katnip [Actin family], Nhs [Actin family], Usp54, Arhgef5, Kdm5d, Dnmbp",3.2,routine
178.0-180.0 kDa,178.0,180.0,26,0,1,2,Actin family; MAPK cascade,,Map3k4,"Abcc8, Baz1a, Myo15b, Pclo, Baz1a, Vcan, Ylpm1, Ltbp4, Dennd4c, Cttnbp2 [Actin family], Lrp5, Cfap74, Peg3, Nhs [Actin family], Rapgef6, Kif26b, Thsd7b, Hecw1",4.3,routine
180.0-182.0 kDa,180.0,182.0,39,0,0,1,Actin family,,,"Erich3, Alpk3, Samd9l, Tnrc6c, Trpm3, Rapgef6, Smarca2 [Actin family], Cnot1, Lrp6, Lrp6, Tet3, Depdc5, Mroh2b, Iqgap2, Ankrd26, Bcorl1, Akap12, Smarca2",2.7,routine
182.0-184.0 kDa,182.0,184.0,36,0,1,0,,,Rb1cc1,"Sphkap, Pbrm1, Col18a1, Samd9l, Col18a1, Adamts7, Rb1cc1, Phlpp1, Unc13b, Ttc3, Als2, Thoc2l, Smarca2, Thoc2, Rims1, Siglec1, Kif21b, Gcc2",3.3,routine
184.0-186.0 kDa,184.0,186.0,41,0,1,1,Actin family,,Pik3c2b,"Nrxn2, Phrf1, Rapgef2, Rreb1, Pik3c2b, Abca8a, Adprhl1, Wiz, Camta1, Trpm1, Wiz, Tut4, Mdc1, N4bp2, Myo3a, Crybg1, Mdc1, Ehbp1l1",4.3,routine
186.0-188.0 kDa,186.0,188.0,28,0,0,1,Histone family,,,"Setd1a [Histone family], Ncor1, Kif21b, Col27a1, Plec, Adcy10, Kif14, C3, Eif2ak4, Eif2ak4, Kif21a, Myo18a, Crocc2, Ltbp1, Ptprv, Cacna1d, Ltbp1, Dst",2.15,routine
188.0-190.0 kDa,188.0,190.0,26,0,0,0,,,,"Arfgef3, Mon2, Adgb, Mast2, Atg2a, Iqgap1, Itsn2, Tjp1, Bltp1, C5, Afdn, Itsn2, Tasor2, Mroh2a, Sipa1l1, Mon2, Fndc1, Syne2",1.3,routine
190.0-192.0 kDa,190.0,192.0,34,0,2,0,,,Pik3c2a,"Mroh2a, Dst, Bcorl1, Arhgef28, Abca15, Mast2, Abca15, Ltbp2, Gcc2, Pik3c2a, Pik3c2a, Btbd8, Kif1a, Peak1, Dop1a, Casz1, Arid1b, Ank3",4.7,routine
192.0-194.0 kDa,192.0,194.0,36,0,0,1,Histone family,,,"Adamtsl1, Kif1a, Marf1, Scn7a, Kdm5a, Ankrd26, Abca16, Abca14, Cul7, Lmo7, Tiam2, Bcor, Cdc42bpa, 2900026A02Rik, Col14a1, Adamtsl1, Ltbp2, Eif4g3",2.55,routine
194.0-196.0 kDa,194.0,196.0,40,0,1,1,Actin family,,Rbbp6,"Tsc2, Tsc2, Polr1a, Lmo7, Fndc1, Nckap5, Itsn1, Xrn1, Xrn1, Qser1, Dmbt1, FAM186A, Gcc2, Trip11, Tns1, Pbrm1, Tjp1, Cdc42bpb",4.25,routine
196.0-198.0 kDa,196.0,198.0,36,0,0,3,Actin family; Lamin family; Tubulin family,,,"Abca17, Tubgcp6 [Tubulin family], Kif26a, Strc, Chd1, Cep152, Lamb2 [Lamin family], Xirp1 [Actin family], Nup188, Zfp646, Cdc42bpa, Sipa1l1, Zswim8, Lamb1 [Lamin family], Tubgcp6 [Tubulin family], Tns1, Nup98, Nup98",4.05,routine
198.0-200.0 kDa,198.0,200.0,23,0,1,2,Actin family; p53 pathway,,Rbbp6,"Mast2, Tnrc6c, Patj, Cdc42bpa, Brca1, Pappa2, Tsc2, Ltn1, Focad, Tns1, Rtl1, Supt6h, Map2, Ubr2, Kidins220 [Actin family], Nup210 [p53 pathway], Rbbp6, Rp1l1",4.15,routine
200.0-202.0 kDa,200.0,202.0,18,0,0,1,Lamin family,,,"Tanc1, Shank2, Ubr1, Nalcn, Tns1, Togaram1, Nalcn, Myo15a, Tanc1, Patj, Nckap5, Tsc2, Tns1, Scn11a, Virma, Rai1, Itgb4, Lama4 [Lamin family]",1.65,routine
202.0-204.0 kDa,202.0,204.0,21,0,0,1,Lamin family,,,"Tsc2, Kif1a, Arfgef2, Nav1, Lamb1 [Lamin family], Ank1, Myo5c, Zfp236, Brwd3, Ank1, Wdr90, Nynrin, Tnrc6a, Kif20b, Atad5, Zc3h13, Ppl, Parp14",1.8,routine
204.0-206.0 kDa,204.0,206.0,22,0,1,3,Cell-cycle CDK/cyclin; Histone family; p53 pathway,,Cdk5rap2,"Ppl, Kif1b, Nup210 [p53 pathway], Ank1, Ank1, Ank1, Afdn, Kmt2e [Histone family], Kif13b, Tmem131, Eif4g3, Cntrl, Kif13b, Agrn, Wdr90, Sbf2, Cacna1i, Shroom3",4.85,routine
206.0-208.0 kDa,206.0,208.0,24,0,0,2,Actin family; p53 pathway,,,"Tro, Ankrd31, Znf142, Plxnb2, Rlf, Arhgef4, Afdn, Notch4, Phip [Actin family], Phip [Actin family], Gbf1, Ank1, Ank1, Btaf1, Nes, Virma, Lcorl, Afdn",2.7,routine
208.0-210.0 kDa,208.0,210.0,28,0,0,2,Histone family; p53 pathway,,,"Ros1, Tchh, Ticrr, Plxnb3, Arfgef1, Kat6b [Histone family], Mgam, Sbf1, Nup210l [p53 pathway], Nup210l [p53 pathway], Akap11, Scn4a, Scn4a, Zfp106, Znf106, Sis, Nckap5, Cfap65",2.9,routine
210.0-212.0 kDa,210.0,212.0,34,0,0,1,Actin family,,,"Cacna1s, Ralgapa2, Cacna1s, Hcfc1, Sbf2, Taf1, Myo5b, Myo5b, Chd2, Atg2a, Plxna1, Wnk2, Psme4, Myo16, Dennd4c, Ptprf, Plxna2, Cfap44",2.45,routine
212.0-214.0 kDa,212.0,214.0,26,0,1,1,p53 pathway,,Tp53bp1,"Adamts20, Dlg5, Tet2, Trpm7, Myo5a, Trpm7, Plxna4, Tp53bp1 [p53 pathway], Ubr3, Mylk, Nup214 [p53 pathway], Tet2, Skt, Dmbt1, Ttc6, Myo5b, Vwa8, Polr2a",3.55,routine
214.0-216.0 kDa,214.0,216.0,26,0,0,2,Histone family; p53 pathway,,,"Ank3, Ralgapa2, Muc12, Shroom3, Dlg5, Ptprd, Taf1, Dock5, Zfp638, Taf1, Pcdh15, Eml5, Shroom3, Hcfc1, Dock1, Setd1b [Histone family], Gm45861, Myo5a",2.8,routine
216.0-218.0 kDa,216.0,218.0,20,0,0,1,p53 pathway,,,"Tdrd6, Parp4, Map2, Chd4, Arhgap21 [p53 pathway], Agrn, Dicer1, Dicer1, Ank3, Greb1, Arhgap21 [p53 pathway], Polr2a, Thada, Mcm3ap, Rlf, Ank3, Exph5, Chd4",1.75,routine
218.0-220.0 kDa,218.0,220.0,22,0,1,3,Actin family; Apoptosis caspase/BCL; Histone family,,Casp8ap2,"Mical2 [Actin family], Znf638, Zfp638, Dock11, Etl4, Chd4, Wnk2, Ckap5, Mpdz, Znfx1, Brd10, Chd5, Ralgapa2, Casp8ap2 [Apoptosis caspase/BCL], Tet1, Prrc2a, Ak9, Ncoa6",4.85,routine
220.0-222.0 kDa,220.0,222.0,20,0,0,1,Actin family,,,"Eml5, Mpdz, Tanc2, Naca, Scn10a, Scn10a, Trip12, Scn8a, Mical3 [Actin family], Scn3a, Cacna1f, Myh7b, Pcnx3, Arhgef17, Cacna1c, Cacna1f, Myh15, Wnk2",1.75,routine
222.0-224.0 kDa,222.0,224.0,27,0,0,1,Actin family,,,"Unc13b, Wnk2, Dscam, Chd5, Dnah9, Dock4, Chd5, Myh8, Myh4, Myh7, Tet1, Cacna1c, Myh2, Myh1, Myh11, Triobp [Actin family], Crybg1, Ckap5",2.1,routine
224.0-226.0 kDa,224.0,226.0,32,0,0,2,Actin family; Histone family,,,"Trip12, Fer1l4, Dscaml1, Cacna1h, Heatr5b, Ptprb, Scn9a, Kat6a [Histone family], Kat6a [Histone family], Zfc3h1, Scn9a, Scn8a, Scn8a, Scn8a, Ubr4, Shank1, Shank1, Lrrk1",3.1,routine
226.0-228.0 kDa,226.0,228.0,27,0,0,0,,,,"Fancm, Otof, Wnk2, Scn8a, Shank1, Myh9, Trip11, Ccdc88c, Dock4, Gtf3c1, Svil, Dmbt1, Crocc, Otof, Myh11, Otof, Myh11, Wnk2",1.35,routine
228.0-230.0 kDa,228.0,230.0,10,0,0,2,Actin family; Histone family,,,"Kat6b [Histone family], Myh14, Scn1a, Pcm1, Chd3, Myh10, Prrc2a, Ralgapa1, Mical3 [Actin family], Arhgap32",2.0,routine
