mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
188.0-190.0 kDa,188.0,190.0,4,0,0,0,,,,"DNF3, NUP188, HKR1, YBT1",0.2,routine
190.0-192.0 kDa,190.0,192.0,5,0,1,1,Histones,,GCN2,"GCN2, YRF1-2, NUP192, RPO21, HIR3 [Histones]",2.5,routine
192.0-194.0 kDa,192.0,194.0,1,0,0,0,,,,RRP5,0.05,routine
194.0-196.0 kDa,194.0,196.0,5,0,0,0,,,,"SNF2, DOP1, MLP2, SPO14, PMD1",0.25,routine
196.0-198.0 kDa,196.0,198.0,4,0,1,1,Protein_kinases,,RIM15,"APC1, RIM15 [Protein_kinases], YIL177C, YJL225C",2.45,routine
198.0-200.0 kDa,198.0,200.0,28,0,0,0,,,,"TY1B-NL2, TY1B-PR3, TY1B-LR3, TY1B-LR1, TY1B-GR2, TY1B-ML1, TY1B-DR5, TY1B-OR, TY1B-LR2, TY1B-MR2, TY1B-GR3, TY1B-ER1, TY1B-PR1, TY1B-ER2, TY1B-ML2, TY1B-PL, TY1B-DR1, TY1B-OL",1.4,routine
200.0-202.0 kDa,200.0,202.0,5,0,0,0,,,,"UTP10, DUR1,2, TY2B-DR3, TY2B-DR1, TY2B-OR1",0.25,routine
202.0-204.0 kDa,202.0,204.0,12,0,0,0,,,,"TY2B-F, TY2B-GR2, TY2B-DR2, TY2B-C, TY2B-LR1, TY2B-OR2, TY2B-B, TY1B-H, URB1, YRF1-1, YRF1-5, YRF1-8",0.6,routine
206.0-208.0 kDa,206.0,208.0,5,0,0,0,,,,"USO1, FAS2, FKS3, TY4B-J, TY4B-H",0.25,routine
208.0-210.0 kDa,208.0,210.0,1,0,0,0,,,,MOT1,0.05,routine
210.0-212.0 kDa,210.0,212.0,4,0,0,1,Proteasome,,,"ECM29 [Proteasome], YRF1-6, YRF1-3, YRF1-7",0.95,routine
214.0-216.0 kDa,214.0,216.0,2,0,0,0,,,,"STT4, FKS1",0.1,routine
